id|Categoría |id_1
15881|(1) Una tazas|889
15882|SEGUNDA|890
15883|SEGUNDA|891
15884|SEGUNDA|892
15885|SEGUNDA|893
15886|PRIMERA|894
15887|(2) Dos tazas|895
15888|(2) Dos tazas|896
15889|(2) Dos tazas|897
15890|SEGUNDA|898
15891|SEGUNDA|899
15892|TERCERA|900
15893|PRIMERA|901
15894|TERCERA|902
15895|SEGUNDA|903
15896|SEGUNDA|904
15897|CUARTA|905
15898|TERCERA|906
15899|SEGUNDA|907
15900|CUARTA|908
15901|SEGUNDA|909
15902|SEGUNDA|910
15903|SEGUNDA|911
15904|SEGUNDA|912
15905|SEGUNDA|913
15906|SEGUNDA|914
15907|SEGUNDA|915
15908|TERCERA|916
15909|TERCERA|917
15910|SEGUNDA|918
15911|SEGUNDA|919
15912|TERCERA|920
15913|TERCERA|921
15914|(2) Dos tazas|922
15915|SEGUNDA|923
15916|SEGUNDA|924
15917|SEGUNDA|925
15918|(1) Una taza|926
15919|TERCERA|927
15920|TERCERA|928
15921|(1) Una taza|929
15922|PRIMERA|930
15923|SEGUNDA|931
15924|CUARTA|932
15925|TERCERA|933
15926|(2) Dos tenedores|934
15927|SEGUNDA|935
15928|SEGUNDA|936
15929|SEGUNDA|937
15930|CUARTA|938
15931|TERCERA|939
15932|PRIMERA|940
15933|SEGUNDA|941
15934|SEGUNDA|942
15935|PRIMERA|943
15936|TERCERA|944
15937|TERCERA|945
15938|TERCERA|946
15939|CUARTA|947
15940|(1) Una taza|948
15941|SEGUNDA|949
15942|TERCERA|950
15943|TERCERA|951
15944|CUARTA|952
15945|TERCERA|953
15946|(1) Una tazas|954
15947|SEGUNDA|955
15948|TERCERA|956
15949|TERCERA|957
15950|CUARTA|958
15951|TERCERA|959
15952|TERCERA|960
15953|TERCERA|961
15954|TERCERA|962
15955|SEGUNDA|963
15956|SEGUNDA|964
15957|SEGUNDA|965
15958|(2) Dos tenedores|966
15959|SEGUNDA|967
15960|SEGUNDA|968
15961|SEGUNDA|969
15962|SEGUNDA|970
15963|SEGUNDA|971
15964|SEGUNDA|972
15965|SEGUNDA|973
15966|SEGUNDA|974
15967|SEGUNDA|975
15968|TERCERA|976
15969|OPERADOR TURÍSTICO|977
15970|TERCERA|978
15971|TERCERA|979
15972|CUARTA|980
15973|1 Estrellas|981
15974|1 Estrellas|982
15975|SEGUNDA|983
15976|TERCERA|984
15977|CUARTA|985
15978|TERCERA|986
15979|CUARTA|987
15980|SEGUNDA|988
15981|CUARTA|989
15982|TERCERA|990
15983|SEGUNDA|991
15984|SEGUNDA|992
15985|SEGUNDA|993
15986|SEGUNDA|994
15987|TERCERA|995
15988|CUARTA|996
15989|TERCERA|997
15990|CUARTA|998
15991|2 Estrellas|999
15992|TERCERA|1000
15993|SEGUNDA|1001
15994|TERCERA|1002
15995|TERCERA|1003
15996|TERCERA|1004
15997|PRIMERA|1005
15998|TERCERA|1006
15999|SEGUNDA|1007
16000|TERCERA|1008
16001|SEGUNDA|1009
16002|SEGUNDA|1010
16003|CUARTA|1011
16004|SEGUNDA|1012
16005|TERCERA|1013
16006|TERCERA|1014
16007|CUARTA|1015
16008|TERCERA|1016
16009|CUARTA|1017
16010|CUARTA|1018
16011|TERCERA|1019
16012|PRIMERA|1020
16013|PRIMERA|1021
16014|SEGUNDA|1022
16015|TERCERA|1023
16016|TERCERA|1024
16017|CUARTA|1025
16018|SEGUNDA|1026
16019|TERCERA|1027
16020|TERCERA|1028
16021|TERCERA|1029
16022|TERCERA|1030
16023|TERCERA|1031
16024|CUARTA|1032
16025|CUARTA|1033
16026|TERCERA|1034
16027|TERCERA|1035
16028|TERCERA|1036
16029|SEGUNDA|1037
16030|SEGUNDA|1038
16031|2 Estrellas|1039
16032|CUARTA|1040
16033|TERCERA|1041
16034|1 Estrellas|1042
16035|3 Estrellas|1043
