idCategoria|Categoría|horarios|idEstablecimiento
265|SEGUNDA|Lunes a domingo 24 horas|22474
266|(1) Un tenedor|Lunes a Viernes 08h30 a 17h30|22475
267|2 Estrellas|Lunes a domingo 24 horas|22476
268|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22477
269|SEGUNDA|Lunes a domingo 24 horas|22478
270|CUARTA|Lunes a Viernes 08h30 a 17h30|22479
271|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22480
272|SEGUNDA|Lunes a viernes 06:00 a 20:00|22481
273|TERCERA|Lunes a domingo 24 horas|22482
274|TERCERA|Lunes a domingo 24 horas|22483
275|CUARTA|Lunes a domingo 24 horas|22484
276|Categoría única|Lunes a domingo 24 horas|22485
277|(2) Dos tenedores|Lunes a domingo 24 horas|22486
278|SEGUNDA|Lunes a Viernes 08h30 a 17h30|22487
279|2 Estrellas|Lunes a Viernes 08h30 a 17h30|22488
280|(1) Un tenedor|Lunes a Viernes 08h30 a 17h30|22489
281|PRIMERA|Lunes a Viernes 08h30 a 17h30|22490
282|CUARTA|Lunes a sabado de 08:00 a22:00|22491
283|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22492
284|TERCERA|Lunes a sabado de 08:00 a22:00|22493
285|TERCERA|Lunes a sabado de 08:00 a22:00|22494
286|CUARTA / 1 TENEDOR|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22495
287|TERCERA|Lunes a Domingo 24 horas|22496
288|4 Estrellas|Lunes a Domingo 24 horas|22497
289|PRIMERA|Lunes a viernes 06:00 a 20:00|22498
290|2 Estrellas|Lunes a sabado de 08:00 a22:00|22499
291|TERCERA|Lunes a sabado de 08:00 a22:00|22500
292|TERCERA|Lunes a sabado de 08:00 a22:00|22501
293|SEGUNDA|Lunes a sabado de 08:00 a22:00|22502
294|2 Estrellas|Lunes a sabado de 08:00 a22:00|22503
295|Categoría única|Lunes a sabado de 08:00 a22:00|22504
